Company,Ticker,Sector,Index
Syncona,SYNC,Pharmaceuticals & Biotechnology,FTSE 250
Target Healthcare REIT,THRL,Real Estate Investment Trusts,FTSE 250
Tate & Lyle,TATE,Food Producers,FTSE 250
Taylor Wimpey,TW,Household Goods & Home Construction,FTSE 250
TBC Bank,TBCG,Banks,FTSE 250
Telecom Plus,TEP,Telecomms,FTSE 250
Temple Bar Investment Trust,TMPL,Collective Investments,FTSE 250
Templeton Emerging Markets Investment Trust,TEM,Investment Trusts,FTSE 250
The Renewables Infrastructure Group,TRIG,Investment Trusts,FTSE 250
THG,THG,Personal Products,FTSE 250
TP ICAP,TCAP,Support Services,FTSE 250
Trainline,TRN,Industrial Transportation,FTSE 250
Travis Perkins,TPK,Support Services,FTSE 250
TR Property Investment Trust,TRY,Investment Trusts,FTSE 250
Trustpilot,TRST,Technology,FTSE 250
Twentyfour Income Fund,TFIF,Investment Trusts,FTSE 250
Unite Group,UTG,Real Estate Investment Trusts,FTSE 250
Utilico Emerging Markets,UEM,Investment Trusts,FTSE 250
Vesuvius,VSVS,General Industrials,FTSE 250
Victrex,VCT,Chemicals,FTSE 250
Vietnam Enterprise Investments,VEIL,General Financial,FTSE 250
VinaCapital Vietnam Opportunity Fund,VOF,General Financial,FTSE 250
Vistry Group,VTY,Home Construction,FTSE 250
Volution Group,FAN,Construction & Materials,FTSE 250
W. A. G. Payment Solutions,WPS,Financial Services,FTSE 250
Watches of Switzerland,WOSG,Personal Goods,FTSE 250
Wetherspoon (J D),JDW,Travel & Leisure,FTSE 250
W H Smith,SMWH,Retailers,FTSE 250
Wickes,WIX,Retailers,FTSE 250
Wizz Air,WIZZ,Travel & Leisure,FTSE 250
Workspace Group,WKP,Real Estate Investment Trusts,FTSE 250
Worldwide Healthcare Trust,WWH,Investment Trusts,FTSE 250
WPP,WPP,Media,FTSE 250
XPS Pensions,XPS,Financial Services,FTSE 250
Zigup,ZIG,Support Services,FTSE 250
