Company,Ticker,Sector,Index,fr_id,fr_name,fr_ticker
Jupiter Fund Management,JUP,Financial Services,FTSE 250,4884,Jupiter Fund Management PLC,
Just Group,JUST,Life Insurance,FTSE 250,5324,Just Group PLC,
Kainos,KNOS,Software & Computer Services,FTSE 250,4933,Kainos Group PLC,
Keller Group,KLR,Construction & Materials,FTSE 250,4727,Keller Group PLC,
Kier Group,KIE,Construction & Materials,FTSE 250,4761,KIER GROUP PLC,
Law Debenture,LWDB,Investment Trusts,FTSE 250,4596,Law Debenture Corporation PLC,
Lion Finance Group,BGEO,Banking Services,FTSE 250,4897,Lion Finance Group PLC,
Man Group,EMG,Investment Trusts,FTSE 250,4876,CT GLOBAL MANAGED PORTFOLIO TRUST PLC,
Marshalls,MSLH,Construction & Materials,FTSE 250,4847,Marshalls PLC,
ME Group International,MEGP,Leisure Goods,FTSE 250,4639,ME Group International PLC,
Mercantile Investment Trust,MRC,Collective Investments,FTSE 250,5216,The Mercantile Investment Trust PLC,
Metro Bank,MTRO,Banks,FTSE 250,4947,METRO BANK PLC,
Mitchells & Butlers,MAB,Travel & Leisure,FTSE 250,4826,Mitchells & Butlers PLC,
Mitie,MTO,Support Services,FTSE 250,4697,Mitie Group PLC,
Molten Ventures,GROW,Financial Services,FTSE 250,4951,Molten Ventures PLC,
Monks Investment Trust,MNKS,Investment Trusts,FTSE 250,5186,Monks Investment Trust PLC,
MONY Group,MONY,Media,FTSE 250,5086,HARMONY ENERGY INCOME TRUST PLC,
Moonpig,MOON,Retailers,FTSE 250,5056,MOONPIG GROUP PLC,
Morgan Advanced Materials,MGAM,Electronic & Electrical Equipment,FTSE 250,4597,Morgan Advanced Materials PLC,
Morgan Sindall Group,MGNS,Construction & Materials,FTSE 250,5283,Morgan Sindall Group PLC,
Murray Income Trust,MUT,Investment Trusts,FTSE 250,4618,Murray Income Trust PLC,
Murray International Trust,MYI,Investment Trusts,FTSE 250,4594,Murray International Trust PLC,
NCC Group,NCC,Software and Computer Services,FTSE 250,4869,NCC GROUP PLC,
Ninety One,N91,Financial Services,FTSE 250,5036,Ninety One PLC,
North Atlantic Smaller Companies Investment Trust,NAS,Investment Trusts,FTSE 250,5189,North Atlantic Smaller Companies Invesment Trust PLC,
Ocado Group,OCDO,Food & Drug Retailers,FTSE 250,4885,Ocado Group PLC,
OSB Group,OSB,Banks,FTSE 250,5046,OSB Group PLC,
Oxford Biomedica,OXB,Pharmaceuticals and Biotechnology,FTSE 250,5190,Oxford Biomedica PLC,
Oxford Instruments,OXIG,Electronic & Electrical Equipment,FTSE 250,4677,Oxford Instruments PLC,
Oxford Nanopore Technologies,ONT,Health Care,FTSE 250,5081,OXFORD NANOPORE TECHNOLOGIES PLC,
Pacific Horizon Investment Trust,PHI,Investment Trusts,FTSE 250,5191,Pacific Horizon Investment Trust PLC,
PageGroup,PAGE,Support Services,FTSE 250,5296,PageGroup PLC,
Pan African Resources,PAF,Precious Metals and Mining,FTSE 250,48786,PAN AFRICAN RESOURCES PLC,
