id,lei,name,ticker,country_code,market_segment,stock_indices,listed_exchanges,date_ipo,is_listed
4711,549300UC0QPP7Y0W8056,Fidelity European Trust PLC,FEV,GB,FTSE 350,FTSE 250,London Stock Exchange,1991-11-06,True
4736,549300XODK7D2K2KYV43,Fidelity Special Values PLC,FSV,GB,FTSE 350,FTSE 250,London Stock Exchange,1994-11-17,True
4617,213800NN4ZKX2LG1GQ40,Finsbury Growth & Income Trust PLC,FGT,GB,FTSE 350,FTSE 250,London Stock Exchange,1953-03-25,True
5289,549300DEJZCPWA4HKM93,FirstGroup PLC,FGR,GB,FTSE 350,FTSE 250,London Stock Exchange,1995-06-16,True
4862,213800JEGHHEAXIJDX34,Frasers Group PLC,FRAS,GB,FTSE 350,FTSE 100,London Stock Exchange,2007-03-02,True
4787,213800K2581YRLEXV353,Future PLC,FNWA,GB,FTSE 350,FTSE 250,London Stock Exchange,1999-06-25,True
4735,213800RP9QJQYGWHNT41,Games Workshop Group PLC,GMWKF,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,1994-10-06,True
4912,2138005IF1N2RKJ6KO18,Genuit Group PLC,GEN,GB,FTSE 350,FTSE 250,London Stock Exchange,2014-04-16,True
4873,54930022EOITNKSIGH56,Genus PLC,GNS,GB,FTSE 350,FTSE 250,London Stock Exchange,2007-11-12,True
5262,5493000HZTVUYLO1D793,GlaxoSmithKline PLC,GSK,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1972-05-22,True
6185,2138002658CPO9NBH955,Glencore PLC,GLNCY,GB,FTSE 350,FTSE 100|STOXX Europe 600,Johannesburg Stock Exchange Limited|London Stock Exchange,2011-05-01,True
4678,2138007CEIRKZMNI2979,Grainger PLC,GRI,GB,FTSE 350,FTSE 250,London Stock Exchange,1984-02-21,True
4631,213800JMEDD2Q4N1MC42,Great Portland Estates PLC,GPE,GB,FTSE 350,FTSE 250,London Stock Exchange,1959-05-01,True
5320,213800ZPBBK8H51RX165,Greencoat UK Wind PLC,UKW,GB,FTSE 350,FTSE 250,London Stock Exchange,2013-03-27,True
4679,213800I71QMUFJ64IW20,Greggs PLC,GRG,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,1984-04-27,True
5111,549300PSB3WWEODCUP19,Haleon PLC,HLN,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2022-07-18,True
5261,2138007FRGLUR9KGBT40,Halma PLC,HLMA,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1972-01-18,True
5245,213800G1C9KKVVDN1A60,Hammerson PLC,HMSO,GB,FTSE 350,FTSE 250,Johannesburg Stock Exchange Limited|London Stock Exchange,1945-05-31,True
4658,213800YPC42DYBKVPF97,Harbour Energy PLC,HBR,GB,FTSE 350,FTSE 250,London Stock Exchange,1973-02-20,True
4868,2138008ZCE93ZDSESG90,Hargreaves Lansdown PLC,HL,GB,FTSE 350,FTSE 100,London Stock Exchange,2007-05-18,True
